"id","generic_name","brand_name","side_effects","dosage_forms","disorders","incompatibility","category","storage","dosage","overdose","available_strength","composition","contraindications","indications","drug_interactions","warnings"
"51","Drug_51","Brand_51","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"52","Drug_52","Brand_52","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"53","Drug_53","Brand_53","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"54","Drug_54","Brand_54","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"55","Drug_55","Brand_55","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"56","Drug_56","Brand_56","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"57","Drug_57","Brand_57","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"58","Drug_58","Brand_58","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"59","Drug_59","Brand_59","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"60","Drug_60","Brand_60","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"61","Drug_61","Brand_61","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"62","Drug_62","Brand_62","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"63","Drug_63","Brand_63","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"64","Drug_64","Brand_64","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"65","Drug_65","Brand_65","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"66","Drug_66","Brand_66","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"67","Drug_67","Brand_67","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"68","Drug_68","Brand_68","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"69","Drug_69","Brand_69","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"70","Drug_70","Brand_70","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"71","Drug_71","Brand_71","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"72","Drug_72","Brand_72","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"73","Drug_73","Brand_73","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"74","Drug_74","Brand_74","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"75","Drug_75","Brand_75","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"76","Drug_76","Brand_76","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"77","Drug_77","Brand_77","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"78","Drug_78","Brand_78","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"79","Drug_79","Brand_79","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"80","Drug_80","Brand_80","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"81","Drug_81","Brand_81","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"82","Drug_82","Brand_82","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"83","Drug_83","Brand_83","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"84","Drug_84","Brand_84","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"85","Drug_85","Brand_85","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"86","Drug_86","Brand_86","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"87","Drug_87","Brand_87","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"88","Drug_88","Brand_88","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"89","Drug_89","Brand_89","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"90","Drug_90","Brand_90","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"91","Drug_91","Brand_91","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"92","Drug_92","Brand_92","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"93","Drug_93","Brand_93","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"94","Drug_94","Brand_94","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"95","Drug_95","Brand_95","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"96","Drug_96","Brand_96","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"97","Drug_97","Brand_97","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"98","Drug_98","Brand_98","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"99","Drug_99","Brand_99","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"100","Drug_100","Brand_100","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
